name,lat,lon,height
CAM6,33.141,-117.144,166.496
MJPK,33.714,-117.550,1528.011
P471,33.562,-117.541,174.757
SACY,33.743,-117.896,-11.251
SIO5,32.841,-117.250,185.532
TRAK,33.618,-117.803,115.565
VTIS,33.713,-118.294,59.490
LBC1,33.832,-118.137,-21.964
PVHS,33.779,-118.372,259.591
MHMS,33.939,-118.244,-2.461
BKMS,33.962,-118.095,11.025
FVPK,33.662,-117.936,-11.513
CACL,33.412,-117.600,28.908
P474,33.355,-117.249,182.927
LBNO,32.881,-117.238,115.147
P472,32.889,-117.105,137.869
P475,32.666,-117.244,-25.037
CACJ,32.746,-116.944,103.554
RAAP,33.042,-116.917,395.022
CSDH,33.861,-118.257,-9.175
P470,34.462,-117.394,991.396
HOL3,34.458,-117.845,1239.408
RSTP,34.875,-118.193,712.746
P583,34.987,-117.543,730.753
RMVJ,33.486,-117.555,136.394
