Station,Latitude_(deg),Longitude_(deg),Height_(m),State,County,City_(nearest)
7OAK,37.595,-114.759,1713.28,NV,Lincoln,Panaca
ABRN,42.761,-120.100,1370.48,OR,Lake,Paisley
ADLL,42.196,-120.007,1545.86,OR,Lake,Lakeview
AGUA,34.248,-112.059,978.64,AZ,Yavapai,Black Canyon City
ANTB,39.848,-117.371,1647.62,NV,Lander,Austin
ANTE,40.146,-118.167,1445.11,NV,Pershing,Lovelock
ANTV,39.643,-120.281,1681.06,CA,Sierra,Loyalton
ARCH,38.880,-109.757,1432.01,UT,Grand,Cisco
ARMY,38.498,-118.438,1822.02,NV,Mineral,Luning
ARTE,39.000,-119.409,1638.30,NV,Lyon,Dayton
AUBR,35.937,-112.972,1856.31,AZ,Coconino,Williams
BATT,40.516,-117.209,1505.94,NV,Lander,Austin
BBUT,41.439,-118.295,1264.93,NV,Humboldt,Denio
BDSP,37.518,-114.080,1557.90,UT,Washington,Enterprise
BEDE,39.825,-119.828,1573.56,NV,Washoe,Sun Valley
BEER,35.558,-117.783,835.39,CA,Kern,Ridgecrest
BEES,39.267,-117.709,2180.92,NV,Nye,Gabbs
BERR,39.602,-120.448,1930.89,CA,Sierra,Calpine
BFLO,40.729,-119.829,1363.65,NV,Washoe,Gerlach
BFLT,38.854,-119.676,1597.10,NV,Douglas,Gardnerville
BHIL,39.379,-120.118,1988.87,CA,Nevada,Truckee
BIGP,37.168,-118.338,1554.84,CA,Inyo,Big Pine
BIGS,39.286,-116.825,1877.83,NV,Eureka,Eureka
BIRD,35.958,-115.429,1523.17,NV,Clark,Las Vegas
BLAC,39.796,-119.295,1282.67,NV,Washoe,Nixon
BLIN,37.758,-118.504,1856.84,CA,Mono,Benton
BLRK,40.770,-119.093,1237.33,NV,Washoe,Gerlach
BLUM,40.949,-118.047,1364.66,NV,Humboldt,Winnemucca
BOBS,39.448,-116.982,2185.46,NV,Lander,Battle Mountain
BOCA,39.411,-120.045,2058.92,CA,Nevada,Floriston
BODI,38.216,-118.969,2468.92,CA,Mono,Bridgeport
BOIL,40.272,-119.382,1273.78,NV,Washoe,Empire
BONI,37.225,-117.177,1290.34,NV,Esmeralda,Dyer
BONT,39.531,-120.428,2319.16,CA,Sierra,Sierraville
BOOM,39.476,-119.956,2106.23,NV,Washoe,Verdi
BOUL,35.907,-114.788,638.48,NV,Clark,Boulder City
BRAD,39.777,-119.051,1325.73,NV,Washoe,Reno
BRBR,41.230,-120.109,1819.74,CA,Modoc,Cedarville
BRD1,39.809,-119.003,1247.39,NV,Washoe,Nixon
BRDY,39.781,-119.009,1269.09,NV,Washoe,Reno
BRID,38.207,-119.311,2127.49,CA,Mono,Bridgeport
BROK,39.169,-117.943,1820.65,NV,Nye,Gabbs
BRVL,38.494,-120.041,2387.86,CA,Alpine,Kirkwood
BUFF,40.361,-117.266,1483.50,NV,Lander,Austin
BURR,40.519,-119.839,1252.26,CA,Lassen,Wendel
BUTM,37.346,-118.555,1779.38,CA,Mono,Benton
BUTT,41.479,-119.841,1747.67,CA,Modoc,Cedarville
BVAL,39.565,-120.237,2042.56,CA,Sierra,Loyalton
CALA,38.596,-118.129,1868.94,NV,Mineral,Mina
CALL,39.688,-116.774,1845.67,NV,Lander,Battle Mountain
CAMB,38.792,-119.073,1519.12,NV,Lyon,Smith
CARE,38.515,-111.319,1854.06,UT,Wayne,Loa
CARS,39.145,-119.799,1750.25,NV,Carson City,Carson City
CASI,40.833,-119.237,1266.50,NV,Washoe,Gerlach
CCYN,39.102,-119.348,1532.10,NV,Lyon,Yerington
CERB,35.465,-114.041,936.20,AZ,Mohave,Kingman
CERR,36.536,-117.821,2043.44,CA,Inyo,Keeler
CHIA,37.838,-118.207,1982.91,NV,Esmeralda,Goldfield
CHIR,32.006,-109.366,1614.17,AZ,Cochise,Bowie
CHNA,39.720,-117.062,1887.51,NV,Lander,Battle Mountain
CINN,39.805,-118.885,1288.99,NV,Churchill,Fallon
CLIF,32.846,-109.417,1192.13,AZ,Greenlee,Duncan
CLIO,39.768,-120.549,1486.38,CA,Plumas,Portola
COAL,40.250,-118.346,1410.50,NV,Pershing,Lovelock
COLD,39.411,-117.851,1690.82,NV,Churchill,Fallon
COLU,38.089,-118.054,1468.34,NV,Mineral,Mina
CONW,38.125,-119.172,2477.76,CA,Mono,Bridgeport
COPP,39.915,-118.197,1280.64,NV,Pershing,Lovelock
COSJ,36.063,-117.881,1176.02,CA,Inyo,Olancha
COTT,41.591,-119.342,1853.31,CA,Modoc,Cedarville
COVE,38.624,-112.844,1687.36,UT,Beaver,Beaver
COWT,37.910,-118.793,2206.18,CA,Mono,Lee Vining
CRND,31.348,-110.257,1623.29,AZ,Cochise,Hereford
CRPL,38.734,-117.503,2248.76,NV,Nye,Gabbs
CRTR,35.356,-111.308,1659.70,AZ,Coconino,Forest Lakes
CRYS,39.249,-120.010,2098.14,NV,Washoe,Crystal Bay
DAVI,39.956,-120.578,2007.65,CA,Plumas,Blairsden-Graeagle
DBLO,42.791,-120.419,1516.80,OR,Lake,Adel
DEEP,37.343,-118.047,1640.69,CA,Inyo,Big Pine
DETR,35.917,-114.484,537.91,NV,Clark,Laughlin
DEVL,36.438,-116.280,751.71,NV,Nye,Pahrump
DIAM,40.204,-120.473,1968.80,CA,Lassen,Milford
DIRT,37.914,-110.380,1196.31,UT,San Juan,Aneth
DNNL,38.331,-119.929,1921.00,CA,Tuolumne,Strawberry
DOYL,40.026,-120.147,1686.23,CA,Lassen,Doyle
DRYC,38.607,-117.330,1953.78,NV,Nye,Gabbs
DRYV,40.401,-119.852,1288.76,CA,Lassen,Wendel
DUNF,37.314,-117.309,1961.44,NV,Esmeralda,Dyer
DVAL,38.764,-119.770,1729.56,CA,Alpine,Markleeville
EAGL,36.192,-116.367,583.91,NV,Nye,Pahrump
EBBS,38.548,-119.816,2732.19,CA,Alpine,Markleeville
EDNA,40.901,-117.315,1476.17,NV,Humboldt,Golconda
EGLI,43.031,-120.787,1465.18,OR,Lake,Summer Lake
ELGI,37.355,-114.522,1189.00,NV,Lincoln,Alamo
ENGL,39.462,-120.537,1912.83,CA,Nevada,Truckee
EPAS,37.920,-117.881,1817.11,NV,Esmeralda,Goldfield
EVER,41.865,-120.583,1579.60,CA,Modoc,Davis Creek
EWLK,38.693,-118.638,1327.78,NV,Mineral,Hawthorne
FAND,43.147,-120.580,1526.04,OR,Lake,Christmas Valley
FARR,40.513,-118.734,1610.64,NV,Pershing,Imlay
FERI,40.077,-120.308,1796.20,CA,Lassen,Herlong
FIRE,39.904,-119.090,1426.70,NV,Washoe,Nixon
FISH,37.567,-118.006,1621.01,NV,Esmeralda,Goldfield
FITT,40.332,-118.093,1454.69,NV,Pershing,Lovelock
FITZ,42.022,-120.589,1931.39,OR,Lake,Lakeview
FLAN,40.158,-119.820,1263.63,NV,Washoe,Reno
FLAT,38.304,-118.463,1895.10,NV,Mineral,Luning
FLEM,40.418,-120.280,1360.30,CA,Lassen,Wendel
FOST,41.109,-120.792,1617.22,CA,Modoc,Adin
FOUR,43.364,-120.688,1402.96,OR,Lake,Christmas Valley
FOXR,40.575,-119.472,1299.99,NV,Washoe,Empire
FREN,39.884,-120.222,1835.82,CA,Lassen,Doyle
FRG1,39.396,-118.635,1248.55,NV,Churchill,Fallon
FRG2,39.357,-118.637,1251.08,NV,Churchill,Fallon
FRG3,39.382,-118.707,1170.79,NV,Churchill,Fallon
FRG4,39.389,-118.697,1171.43,NV,Churchill,Fallon
FRG5,39.422,-118.711,1179.33,NV,Churchill,Fallon
GALE,36.219,-114.739,598.55,NV,Clark,Henderson
GARC,40.417,-119.356,1643.83,NV,Washoe,Empire
GARD,36.161,-114.941,571.00,NV,Clark,Henderson
GARR,40.626,-118.979,1738.94,NV,Washoe,Empire
GEIG,39.384,-119.701,1726.69,NV,Washoe,Washoe Valley
GEMF,37.745,-117.298,1857.52,NV,Esmeralda,Dyer
GEND,39.089,-117.162,1791.81,NV,Nye,Gabbs
GEOR,38.222,-116.688,1805.05,NV,Nye,Tonopah
GILL,38.673,-118.509,2036.12,NV,Mineral,Hawthorne
GIRL,39.628,-120.005,1610.02,NV,Washoe,Verdi
GLCA,37.036,-111.621,1175.52,AZ,Coconino,Page
GOAT,36.527,-114.068,1453.18,NV,Clark,Bunkerville
GOLM,40.462,-117.600,1465.18,NV,Humboldt,Golconda
GRAN,40.087,-119.049,1517.31,NV,Washoe,Nixon
GRAV,41.350,-120.605,1380.19,CA,Modoc,Alturas
GSES,37.799,-111.404,1769.45,UT,Garfield,Boulder
GUAN,42.016,-119.483,1884.87,CA,Modoc,Lake City
GUNL,37.290,-113.802,1211.21,UT,Washington,Gunlock
GVG1,39.048,-118.102,1855.81,NV,Nye,Gabbs
GVG2,38.812,-118.060,1367.51,NV,Nye,Gabbs
GVG3,38.868,-118.229,1279.13,NV,Nye,Gabbs
GVG4,38.881,-118.395,1321.13,NV,Mineral,Schurz
GVG5,38.976,-118.257,1284.93,NV,Nye,Gabbs
GVG6,38.945,-118.168,1286.69,NV,Nye,Gabbs
GVG7,38.817,-117.927,1514.25,NV,Nye,Gabbs
HAND,38.974,-118.348,1350.10,NV,Nye,Gabbs
HANN,38.098,-116.898,1902.33,NV,Nye,Tonopah
HAPY,36.064,-117.205,400.19,CA,Inyo,Death Valley
HARQ,33.347,-113.269,405.17,AZ,La Paz,Salome
HAZE,39.587,-119.048,1299.55,NV,Lyon,Fernley
HEAV,40.783,-120.729,1675.32,CA,Lassen,Termo
HENN,39.518,-120.534,2127.82,CA,Sierra,Sierra City
HIDD,38.841,-118.531,1535.49,NV,Mineral,Schurz
HIGH,36.283,-116.153,886.02,NV,Nye,Pahrump
HIKO,37.697,-115.177,1266.90,NV,Lincoln,Hiko
HMWD,35.884,-117.415,1208.36,CA,Inyo,Death Valley
HNTS,38.503,-116.839,2082.41,NV,Nye,Tonopah
HOME,35.048,-114.901,685.68,NV,Clark,Laughlin
HONY,40.080,-119.937,1307.32,CA,Lassen,Doyle
HORS,40.592,-120.495,1624.28,CA,Lassen,Susanville
